,file_name,label
270,test_001.tif,tumor
271,test_002.tif,tumor
272,test_003.tif,normal
273,test_004.tif,tumor
274,test_005.tif,normal
275,test_006.tif,normal
276,test_007.tif,normal
277,test_008.tif,tumor
278,test_009.tif,normal
279,test_010.tif,tumor
280,test_011.tif,tumor
281,test_012.tif,normal
282,test_013.tif,tumor
283,test_014.tif,normal
284,test_015.tif,normal
285,test_016.tif,tumor
286,test_017.tif,normal
287,test_018.tif,normal
288,test_019.tif,normal
289,test_020.tif,normal
290,test_021.tif,tumor
291,test_022.tif,normal
292,test_023.tif,normal
293,test_024.tif,normal
294,test_025.tif,normal
295,test_026.tif,tumor
296,test_027.tif,tumor
297,test_028.tif,normal
298,test_029.tif,tumor
299,test_030.tif,tumor
300,test_031.tif,normal
301,test_032.tif,normal
302,test_033.tif,tumor
303,test_034.tif,normal
304,test_035.tif,normal
305,test_036.tif,normal
306,test_037.tif,normal
307,test_038.tif,tumor
308,test_039.tif,normal
309,test_040.tif,tumor
310,test_041.tif,normal
311,test_042.tif,normal
312,test_043.tif,normal
313,test_044.tif,normal
314,test_045.tif,normal
315,test_046.tif,tumor
316,test_047.tif,normal
317,test_048.tif,tumor
318,test_050.tif,normal
319,test_051.tif,tumor
320,test_052.tif,tumor
321,test_053.tif,normal
322,test_054.tif,normal
323,test_055.tif,normal
324,test_056.tif,normal
325,test_057.tif,normal
326,test_058.tif,normal
327,test_059.tif,normal
328,test_060.tif,normal
329,test_061.tif,tumor
330,test_062.tif,normal
331,test_063.tif,normal
332,test_064.tif,tumor
333,test_065.tif,tumor
334,test_066.tif,tumor
335,test_067.tif,normal
336,test_068.tif,tumor
337,test_069.tif,tumor
338,test_070.tif,normal
339,test_071.tif,tumor
340,test_072.tif,normal
341,test_073.tif,tumor
342,test_074.tif,tumor
343,test_075.tif,tumor
344,test_076.tif,normal
345,test_077.tif,normal
346,test_078.tif,normal
347,test_079.tif,tumor
348,test_080.tif,normal
349,test_081.tif,normal
350,test_082.tif,tumor
351,test_083.tif,normal
352,test_084.tif,tumor
353,test_085.tif,normal
354,test_086.tif,normal
355,test_087.tif,normal
356,test_088.tif,normal
357,test_089.tif,normal
358,test_090.tif,tumor
359,test_091.tif,normal
360,test_092.tif,tumor
361,test_093.tif,normal
362,test_094.tif,tumor
363,test_095.tif,normal
364,test_096.tif,normal
365,test_097.tif,tumor
366,test_098.tif,normal
367,test_099.tif,tumor
368,test_100.tif,normal
369,test_101.tif,normal
370,test_102.tif,tumor
371,test_103.tif,normal
372,test_104.tif,tumor
373,test_105.tif,tumor
374,test_106.tif,normal
375,test_107.tif,normal
376,test_108.tif,tumor
377,test_109.tif,normal
378,test_110.tif,tumor
379,test_111.tif,normal
380,test_112.tif,normal
381,test_113.tif,tumor
382,test_114.tif,tumor
383,test_115.tif,normal
384,test_116.tif,tumor
385,test_117.tif,tumor
386,test_118.tif,normal
387,test_119.tif,normal
388,test_120.tif,normal
389,test_121.tif,tumor
390,test_122.tif,tumor
391,test_123.tif,normal
392,test_124.tif,normal
393,test_125.tif,normal
394,test_126.tif,normal
395,test_127.tif,normal
396,test_128.tif,normal
397,test_129.tif,normal
398,test_130.tif,normal
